-SHGRRASN,http://codes.wmo.int/306/4678/-SHGRRASN
-SHGRSN,http://codes.wmo.int/306/4678/-SHGRSN
-SHGRSNRA,http://codes.wmo.int/306/4678/-SHGRSNRA
-SHGS,http://codes.wmo.int/306/4678/-SHGS
-SHGSRA,http://codes.wmo.int/306/4678/-SHGSRA
-SHGSRASN,http://codes.wmo.int/306/4678/-SHGSRASN
-SHGSSN,http://codes.wmo.int/306/4678/-SHGSSN
-SHGSSNRA,http://codes.wmo.int/306/4678/-SHGSSNRA
-SHRA,http://codes.wmo.int/306/4678/-SHRA
-SHRAGR,http://codes.wmo.int/306/4678/-SHRAGR
-SHRAGRSN,http://codes.wmo.int/306/4678/-SHRAGRSN
-SHRAGS,http://codes.wmo.int/306/4678/-SHRAGS
-SHRAGSSN,http://codes.wmo.int/306/4678/-SHRAGSSN
-SHRASN,http://codes.wmo.int/306/4678/-SHRASN
-SHRASNGR,http://codes.wmo.int/306/4678/-SHRASNGR
-SHRASNGS,http://codes.wmo.int/306/4678/-SHRASNGS
-SHSN,http://codes.wmo.int/306/4678/-SHSN
-SHSNGR,http://codes.wmo.int/306/4678/-SHSNGR
-SHSNGRRA,http://codes.wmo.int/306/4678/-SHSNGRRA
-SHSNGS,http://codes.wmo.int/306/4678/-SHSNGS
-SHSNGSRA,http://codes.wmo.int/306/4678/-SHSNGSRA
-SHSNRA,http://codes.wmo.int/306/4678/-SHSNRA
-SHSNRAGR,http://codes.wmo.int/306/4678/-SHSNRAGR
-SHSNRAGS,http://codes.wmo.int/306/4678/-SHSNRAGS
-SHUP,http://codes.wmo.int/306/4678/-SHUP
-SN,http://codes.wmo.int/306/4678/-SN
-SNDZ,http://codes.wmo.int/306/4678/-SNDZ
-SNDZRA,http://codes.wmo.int/306/4678/-SNDZRA
-SNPL,http://codes.wmo.int/306/4678/-SNPL
-SNPLRA,http://codes.wmo.int/306/4678/-SNPLRA
-SNPLSG,http://codes.wmo.int/306/4678/-SNPLSG
-SNRA,http://codes.wmo.int/306/4678/-SNRA
-SNRADZ,http://codes.wmo.int/306/4678/-SNRADZ
-SNRAPL,http://codes.wmo.int/306/4678/-SNRAPL
-SNRASG,http://codes.wmo.int/306/4678/-SNRASG
-SNSG,http://codes.wmo.int/306/4678/-SNSG
-SNSGPL,http://codes.wmo.int/306/4678/-SNSGPL
-SNSGRA,http://codes.wmo.int/306/4678/-SNSGRA
